id,displayName,sortName,party,state,district,tenureStartDate,nextElectionDate,grade
44154,Rep. Bradley Byrne [R-AL1],"Byrne, Bradley (Rep.) [R-AL1]",Republican,AL,1,1/3/2017,1/3/2019,
44155,Rep. David “Dave” Brat [R-VA7],"Brat, David “Dave” (Rep.) [R-VA7]",Republican,VA,7,1/3/2017,1/3/2019,
44156,Rep. Donald Norcross [D-NJ1],"Norcross, Donald (Rep.) [D-NJ1]",Democrat,NJ,1,1/3/2017,1/3/2019,
44157,Rep. Alma Adams [D-NC12],"Adams, Alma (Rep.) [D-NC12]",Democrat,NC,12,1/3/2017,1/3/2019,
44158,Rep. Gary Palmer [R-AL6],"Palmer, Gary (Rep.) [R-AL6]",Republican,AL,6,1/3/2017,1/3/2019,
44159,Rep. French Hill [R-AR2],"Hill, French (Rep.) [R-AR2]",Republican,AR,2,1/3/2017,1/3/2019,
44160,Rep. Bruce Westerman [R-AR4],"Westerman, Bruce (Rep.) [R-AR4]",Republican,AR,4,1/3/2017,1/3/2019,
44161,Rep. Martha McSally [R-AZ2],"McSally, Martha (Rep.) [R-AZ2]",Republican,AZ,2,1/3/2017,1/3/2019,
44162,Rep. Ruben Gallego [D-AZ7],"Gallego, Ruben (Rep.) [D-AZ7]",Democrat,AZ,7,1/3/2017,1/3/2019,
44163,Rep. Mark DeSaulnier [D-CA11],"DeSaulnier, Mark (Rep.) [D-CA11]",Democrat,CA,11,1/3/2017,1/3/2019,
44164,Rep. Steve Knight [R-CA25],"Knight, Steve (Rep.) [R-CA25]",Republican,CA,25,1/3/2017,1/3/2019,
44165,Rep. Pete Aguilar [D-CA31],"Aguilar, Pete (Rep.) [D-CA31]",Democrat,CA,31,1/3/2017,1/3/2019,
44166,Rep. Ted Lieu [D-CA33],"Lieu, Ted (Rep.) [D-CA33]",Democrat,CA,33,1/3/2017,1/3/2019,
44167,Rep. Norma Torres [D-CA35],"Torres, Norma (Rep.) [D-CA35]",Democrat,CA,35,1/3/2017,1/3/2019,
44168,Rep. Mimi Walters [R-CA45],"Walters, Mimi (Rep.) [R-CA45]",Republican,CA,45,1/3/2017,1/3/2019,
