id,question,description,result,externalLink,voteDate
119153,H.R. 1365: Department of Homeland Security Acquisition Innovation Act,"On Motion to Suspend the Rules and Pass, as Amended in the House",Passed,https://www.govtrack.us/congress/votes/115-2017/h193,2017-03-24T11:11:00
119150,H.Res. 228: Providing for consideration of the bill (H.R. 1628) to provide for reconciliation pursuant to title II of the concurrent resolution on the budget for fiscal year 2017.,On the Resolution in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h192,2017-03-24T11:02:00
119151,On Ordering the Previous Question: H.Res. 228: Providing for consideration of the bill (H.R. 1628) to provide for reconciliation pursuant ...,,Passed,https://www.govtrack.us/congress/votes/115-2017/h191,2017-03-24T10:54:00
119147,On Approving the Journal,,Passed,https://www.govtrack.us/congress/votes/115-2017/h190,2017-03-23T21:01:00
119148,"H.Res. 221: Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, and providing for consideration of motions to suspend the rules.",On the Resolution in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h189,2017-03-23T20:51:00
119149,On Ordering the Previous Question: H.Res. 221: Waiving a requirement of clause 6(a) of rule XIII with respect to consideration ...,,Passed,https://www.govtrack.us/congress/votes/115-2017/h188,2017-03-23T20:44:00
119140,H.R. 1238: Securing our Agriculture and Food Act,On Motion to Suspend the Rules and Pass in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h187,2017-03-22T15:47:00
119141,H.R. 1101: Small Business Health Fairness Act of 2017,On Passage of the Bill in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h186,2017-03-22T15:39:00
119142,On Motion to Recommit with Instructions: H.R. 1101: Small Business Health Fairness Act of 2017,,Failed,https://www.govtrack.us/congress/votes/115-2017/h185,2017-03-22T15:30:00
119139,H.R. 372: Competitive Health Insurance Reform Act of 2017,On Passage of the Bill in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h184,2017-03-22T13:52:00
119137,On Motion to Recommit with Instructions: H.R. 372: Competitive Health Insurance Reform Act of 2017,,Failed,https://www.govtrack.us/congress/votes/115-2017/h183,2017-03-22T13:45:00
119138,Table Appeal of the Ruling of the Chair,,Passed,https://www.govtrack.us/congress/votes/115-2017/h182,2017-03-22T13:36:00
119134,H.R. 1297: Quadrennial Homeland Security Review Technical Corrections Act of 2017,On Motion to Suspend the Rules and Pass in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h181,2017-03-21T16:55:00
119133,H.Res. 210: Providing for consideration of the bill (H.R. 1101) to amend title I of the Employee Retirement Income Security Act of 1974 to improve access and choice for entrepreneurs with small businesses with respect to medical care for their employees.,On the Resolution in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h180,2017-03-21T16:45:00
119135,On Ordering the Previous Question: H.Res. 210: Providing for consideration of the bill (H.R. 1101) to amend title I of ...,,Passed,https://www.govtrack.us/congress/votes/115-2017/h179,2017-03-21T16:37:00
119130,H.R. 1353: Transparency in Technological Acquisitions Act of 2017,On Motion to Suspend the Rules and Pass in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h178,2017-03-21T13:49:00
119131,H.Res. 209: Providing for consideration of the bill (H.R. 372) to restore the application of the Federal antitrust laws to the business of health insurance to protect competition and consumers.,On the Resolution in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h177,2017-03-21T13:42:00
119132,On Ordering the Previous Question: H.Res. 209: Providing for consideration of the bill (H.R. 372) to restore the application of ...,,Passed,https://www.govtrack.us/congress/votes/115-2017/h176,2017-03-21T13:35:00
119127,H.R. 1252: DHS Acquisition Authorities Act of 2017,"On Motion to Suspend the Rules and Pass, as Amended in the House",Passed,https://www.govtrack.us/congress/votes/115-2017/h175,2017-03-20T19:13:00
119126,H.R. 1249: DHS Multiyear Acquisition Strategy Act of 2017,"On Motion to Suspend the Rules and Pass, as Amended in the House",Passed,https://www.govtrack.us/congress/votes/115-2017/h174,2017-03-20T19:06:00
119128,H.R. 1294: Reducing DHS Acquisition Cost Growth Act,On Motion to Suspend the Rules and Pass in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h173,2017-03-20T18:51:00
119125,On Approving the Journal,,Passed,https://www.govtrack.us/congress/votes/115-2017/h172,2017-03-17T11:44:00
119123,"H.R. 1367: To improve the authority of the Secretary of Veterans Affairs to hire and retain physicians and other employees of the Department of Veterans Affairs, and for other purposes.",On Passage of the Bill in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h171,2017-03-17T11:36:00
119124,H.Amdt. 98 (Hanabusa) to H.R. 1367: Amendment requires the total number of employees that voluntarily separated and the percentage of those employees that took the voluntary exit survey.,On the Amendment in the House,Agreed to,https://www.govtrack.us/congress/votes/115-2017/h170,2017-03-17T11:28:00
119122,H.R. 1181: Veterans 2nd Amendment Protection Act,On Passage of the Bill in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h169,2017-03-16T18:05:00
119121,H.R. 1259: VA Accountability First Act of 2017,On Passage of the Bill in the House,Passed,https://www.govtrack.us/congress/votes/115-2017/h168,2017-03-16T17:58:00
